2025-11-12 19:09:38 - Selection  | Desc | size=     0 | case=all_equal      | duration=0.000009s
2025-11-12 19:09:38 - Quick      | Desc | size=     0 | case=all_equal      | duration=0.000006s
2025-11-12 19:09:38 - Merge      | Desc | size=     0 | case=all_equal      | duration=0.000006s
2025-11-12 19:09:38 - Shell      | Desc | size=     0 | case=all_equal      | duration=0.000008s
2025-11-12 19:09:38 - Bubble     | Asc  | size=     1 | case=all_equal      | duration=0.000010s
2025-11-12 19:09:38 - Selection  | Asc  | size=     1 | case=all_equal      | duration=0.000010s
2025-11-12 19:09:38 - Quick      | Asc  | size=     1 | case=all_equal      | duration=0.000007s
2025-11-12 19:09:38 - Merge      | Asc  | size=     1 | case=all_equal      | duration=0.000007s
2025-11-12 19:09:38 - Shell      | Asc  | size=     1 | case=all_equal      | duration=0.000006s
2025-11-12 19:09:38 - Bubble     | Desc | size=     1 | case=all_equal      | duration=0.000008s
2025-11-12 19:09:38 - Selection  | Desc | size=     1 | case=all_equal      | duration=0.000010s
2025-11-12 19:09:38 - Quick      | Desc | size=     1 | case=all_equal      | duration=0.000010s
2025-11-12 19:09:38 - Merge      | Desc | size=     1 | case=all_equal      | duration=0.000006s
2025-11-12 19:09:38 - Shell      | Desc | size=     1 | case=all_equal      | duration=0.000011s
2025-11-12 19:09:38 - Bubble     | Asc  | size=    10 | case=all_equal      | duration=0.000017s
2025-11-12 19:09:38 - Selection  | Asc  | size=    10 | case=all_equal      | duration=0.000019s
2025-11-12 19:09:38 - Quick      | Asc  | size=    10 | case=all_equal      | duration=0.000015s
2025-11-12 19:09:38 - Merge      | Asc  | size=    10 | case=all_equal      | duration=0.000022s
2025-11-12 19:09:38 - Shell      | Asc  | size=    10 | case=all_equal      | duration=0.000014s
2025-11-12 19:09:38 - Bubble     | Desc | size=    10 | case=all_equal      | duration=0.000012s
2025-11-12 19:09:38 - Selection  | Desc | size=    10 | case=all_equal      | duration=0.000017s
2025-11-12 19:09:38 - Quick      | Desc | size=    10 | case=all_equal      | duration=0.000015s
2025-11-12 19:09:38 - Merge      | Desc | size=    10 | case=all_equal      | duration=0.000048s
2025-11-12 19:09:38 - Shell      | Desc | size=    10 | case=all_equal      | duration=0.000017s
2025-11-12 19:09:38 - Bubble     | Asc  | size=   100 | case=all_equal      | duration=0.000476s
2025-11-12 19:09:38 - Selection  | Asc  | size=   100 | case=all_equal      | duration=0.000333s
2025-11-12 19:09:38 - Quick      | Asc  | size=   100 | case=all_equal      | duration=0.000030s
2025-11-12 19:09:38 - Merge      | Asc  | size=   100 | case=all_equal      | duration=0.000190s
2025-11-12 19:09:38 - Shell      | Asc  | size=   100 | case=all_equal      | duration=0.000082s
2025-11-12 19:09:38 - Bubble     | Desc | size=   100 | case=all_equal      | duration=0.000385s
2025-11-12 19:09:38 - Selection  | Desc | size=   100 | case=all_equal      | duration=0.000318s
2025-11-12 19:09:38 - Quick      | Desc | size=   100 | case=all_equal      | duration=0.000033s
2025-11-12 19:09:38 - Merge      | Desc | size=   100 | case=all_equal      | duration=0.000165s
2025-11-12 19:09:39 - Shell      | Desc | size=   100 | case=all_equal      | duration=0.000075s
2025-11-12 19:09:39 - Bubble     | Asc  | size=  1000 | case=all_equal      | duration=0.043807s
2025-11-12 19:09:39 - Selection  | Asc  | size=  1000 | case=all_equal      | duration=0.028346s
2025-11-12 19:09:39 - Quick      | Asc  | size=  1000 | case=all_equal      | duration=0.000197s
2025-11-12 19:09:39 - Merge      | Asc  | size=  1000 | case=all_equal      | duration=0.001918s
2025-11-12 19:09:39 - Shell      | Asc  | size=  1000 | case=all_equal      | duration=0.001107s
2025-11-12 19:09:39 - Bubble     | Desc | size=  1000 | case=all_equal      | duration=0.042267s
2025-11-12 19:09:39 - Selection  | Desc | size=  1000 | case=all_equal      | duration=0.032308s
2025-11-12 19:09:39 - Quick      | Desc | size=  1000 | case=all_equal      | duration=0.000187s
2025-11-12 19:09:39 - Merge      | Desc | size=  1000 | case=all_equal      | duration=0.001919s
2025-11-12 19:09:39 - Shell      | Desc | size=  1000 | case=all_equal      | duration=0.001107s
2025-11-12 19:09:39 - Bubble     | Asc  | size=     0 | case=negative_numbers | duration=0.000004s
